"494.5196";": ";"02";" ";" ";" DL:  8    25 fd 07 d0 "
"494.5391";": ";"01";" ";" ";" DL:  8    1e fd 08 0f "
"494.5393";": ";"01";" ";" ";" DL:  8    a3 de 4e 20 "
"494.5396";": ";"02";" ";" ";" DL:  8    ef fe 07 d0 "
"494.5591";": ";"01";" ";" ";" DL:  8    f9 fe 08 0f "
"494.5594";": ";"01";" ";" ";" DL:  8    b5 d0 4e 20 "
"494.5596";": ";"02";" ";" ";" DL:  8    c0 f9 ca 00 "
"494.5598";": ";"02";" ";" ";" DL:  8    6c f0 07 d0 "
"494.5601";": ";"03";" ";" ";" DL:  8    48 f9 0a 8d "
"494.5603";": ";"04";" ";" ";" DL:  8    ed fc 02 24 "
"494.5605";": ";"04";" ";" ";" DL:  8    9f fc 20 10 "
"494.5791";": ";"01";" ";" ";" DL:  8    f8 f0 08 0f "
"494.5793";": ";"01";" ";" ";" DL:  8    ff d1 4e 20 "
"494.5796";": ";"02";" ";" ";" DL:  8    2a f1 07 d0 "
"494.5990";": ";"01";" ";" ";" DL:  8    a5 f1 08 0f "
"494.5993";": ";"01";" ";" ";" DL:  8    0f d2 4e 20 "
"494.5995";": ";"02";" ";" ";" DL:  8    e0 f2 07 d0 "
"494.6091";": ";"03";" ";" ";" DL:  8    61 fa 0a 31 "
"494.6093";": ";"02";" ";" ";" DL:  8    27 fa ca 00 "
"494.6191";": ";"01";" ";" ";" DL:  8    42 f2 08 0f "
"494.6193";": ";"01";" ";" ";" DL:  8    52 d3 4e 20 "
"494.6196";": ";"02";" ";" ";" DL:  8    a6 f3 07 d0 "
"494.6391";": ";"01";" ";" ";" DL:  8    1f f3 08 0f "
"494.6393";": ";"01";" ";" ";" DL:  8    dc d4 4e 20 "
"494.6396";": ";"02";" ";" ";" DL:  8    69 f4 07 d0 "
"494.6590";": ";"01";" ";" ";" DL:  8    91 f4 08 0f "
"494.6593";": ";"01";" ";" ";" DL:  8    96 d5 4e 20 "
"494.6595";": ";"02";" ";" ";" DL:  8    7a fb ca 00 "
"494.6597";": ";"02";" ";" ";" DL:  8    2f f5 07 d0 "
"494.6600";": ";"03";" ";" ";" DL:  8    67 fb 0a 25 "
"494.6602";": ";"04";" ";" ";" DL:  8    b0 fd 02 24 "
"494.6605";": ";"04";" ";" ";" DL:  8    c2 fd 20 10 "
"494.6790";": ";"01";" ";" ";" DL:  8    cc f5 08 0f "
"494.6793";": ";"01";" ";" ";" DL:  8    66 d6 4e 20 "
"494.6795";": ";"02";" ";" ";" DL:  8    e5 f6 07 d0 "
"494.6991";": ";"01";" ";" ";" DL:  8    2b f6 08 0f "
"494.6993";": ";"01";" ";" ";" DL:  8    3b d7 4e 20 "
"494.6996";": ";"02";" ";" ";" DL:  8    a3 f7 07 d0 "
"494.7091";": ";"03";" ";" ";" DL:  8    76 fc 0a 65 "
"494.7093";": ";"02";" ";" ";" DL:  8    f4 fc ca 00 "
"494.7191";": ";"01";" ";" ";" DL:  8    76 f7 08 0f "
